customer_id,churn_probability_percent,risk_category,plan_tier,speed_mbps,monthly_cost,speed_complaints,outage_count,work_from_home_flag,fiber_availability,top_feature_attributions,comprehensive_problem_description,personalized_retention_email
C00061141,99.7,CRITICAL RISK,Premium_Gig,1000,106,3,1,True,True,"[{'feature': 'contract_type', 'attribution': 1.6741994619369507}
 {'feature': 'speed_complaints', 'attribution': -0.4038291275501251}
 {'feature': 'early_termination', 'attribution': 0.3613862097263336}
 {'feature': 'outage_count', 'attribution': 0.3591527044773102}
 {'feature': 'tenure_years', 'attribution': -0.06915994733572006}]","Customer is experiencing significant contractual dissatisfaction and acute service performance issues. The 12-month contract, coupled with short tenure (0.38 years) and the implied early termination costs, is the primary churn driver, suggesting a feeling of being locked in. This is exacerbated by persistent performance problems, specifically 3 speed complaints and 1 outage. For a remote worker relying heavily on the internet (614 GB/month across 8 devices), these disruptions severely impact productivity and reliability. Despite a Premium_Gig plan, they are not receiving the expected quality, leading to poor value perception and critical churn risk.","Dear Valued Customer,

We understand that reliable internet is absolutely essential, especially for a busy professional like yourself who works from home and relies on a consistent connection for your productivity. As a valued member of the TriLink family for the past 0.38 years, your satisfaction is our top priority.

We've reviewed your service history, and we sincerely apologize for the connectivity challenges you've recently experienced, including the 3 speed complaints and the outage. We know how disruptive this can be, particularly when you're managing important video calls and utilizing your internet across 8 devices, handling a significant 614 GB of data each month. Your current Premium Gig plan should be delivering seamless performance, and it's clear it hasn't been meeting your expectations.

We've designed a tailored solution specifically for your household, focusing on the stability and performance you need. We recommend transitioning to our **Standard 100 plan**. While it may seem different from your current setup, this plan is engineered to provide incredibly stable and reliable connectivity, ensuring you get the truly seamless video conferencing experience crucial for your work-from-home demands, effectively delivering superior usable bandwidth where it matters most.

This optimized internet plan is available for just $69 per month.

To further enhance your home environment and professional appearance during calls, we'd like to bundle this with a comprehensive **home security monitoring system**, including a smart doorbell. This robust security solution is available for an additional $45 per month, offering peace of mind and convenience for your home.

As a gesture of our commitment to your satisfaction, we're pleased to offer you a **50% discount on the combined internet and security bundle for your first two months**. This means you'll pay just $57 per month for the first two months. We're also prioritizing your transition with **guaranteed installation within 48 hours** of your confirmation.

Looking ahead, we also want to assure you that fiber optic connectivity is available in your area, offering a clear upgrade path for even greater speed and reliability whenever your needs evolve.

We are confident this tailored approach will resolve your current service pain points and provide you with the consistent, high-quality connection you deserve.

To discuss this personalized offer or schedule your priority installation, please reply to this email or call us directly at 1-800-TRILINK.

Thank you,
TriLink Internet Services"
C00068714,99.7,CRITICAL RISK,Premium_Gig,1000,106,3,1,True,True,"[{'feature': 'contract_type', 'attribution': 1.5744550228118896}
 {'feature': 'speed_complaints', 'attribution': -0.3931279182434082}
 {'feature': 'outage_count', 'attribution': 0.3703914284706116}
 {'feature': 'early_termination', 'attribution': 0.36182472109794617}
 {'feature': 'monthly_cost', 'attribution': -0.037574898451566696}]","Customer is experiencing significant dissatisfaction primarily due to **contractual rigidity and perceived lock-in** from their 24-month agreement, which is the strongest churn predictor. This rigidity is compounded by persistent **service unreliability**, specifically **frequent speed inconsistencies** (3 complaints) and at least **one outage**. Given their **high dependency** on internet for work-from-home and a multi-device, high-usage family (14 devices, 683 GB/month), these performance issues are amplified. Despite paying for a premium plan, they're not receiving the expected stable service, making the long-term contract a major pain point, especially with better fiber alternatives available.","Dear Valued Customer,

We're reaching out to you, C00068714, because as a valued member of the TriLink family for the past 1.75 years, your experience is incredibly important to us. We understand that your Premium Gig service at 1000 Mbps, which you rely on for your work from home and to power 14 devices for your family of four, hasn't always met your expectations.

We've noted your past reports of speed inconsistencies and the recent outage you experienced. For a household like yours, where you work remotely and consume around 683 GB of data each month, a stable and reliable connection isn't just a convenience – it's a necessity. We recognize that these challenges can be particularly frustrating when you've committed to a long-term plan, and we want to ensure you have the consistent performance your busy family deserves.

That's why we've tailored a new solution designed to provide the unwavering reliability and seamless experience you need. We're inviting you to upgrade to our **Standard_100 plan at $69/month**. While it might seem different from your current service, this plan is optimized to deliver consistent, high-quality performance where it matters most for a graduate like yourself working from home, providing **4 times the dedicated bandwidth for crystal-clear video conferencing**. This ensures your professional calls are always smooth and uninterrupted, and your family's streaming and browsing stay seamless across all 14 devices.

To further enhance your home and professional life, we recommend bundling this with our comprehensive **home security monitoring system at $45/month**, which includes a smart doorbell. This not only offers peace of mind for your family but also provides a professional appearance during video calls.

To help you experience this enhanced reliability, we're pleased to offer you the **first two months of this new bundle at 50% off**, bringing your total monthly cost for internet and security down to just $57 for those initial two months. This new plan leverages our advanced fiber network, ensuring the stability you need today and providing a clear upgrade path for any future needs.

We're confident this package will resolve the connectivity issues you've faced and provide superior value, giving you the peace of mind that comes with a truly dependable internet service.

To make this transition as smooth as possible, we offer **priority installation within 48 hours** of your confirmation. Please call us at [Your Phone Number] or reply to this email to schedule your upgrade. Our dedicated support team is ready to assist you and ensure a flawless setup.

Thank you,
TriLink Internet Services"
C00030983,99.7,CRITICAL RISK,Premium_Gig,1000,106,3,0,True,True,"[{'feature': 'contract_type', 'attribution': 1.480161190032959}
 {'feature': 'outage_count', 'attribution': 0.5368216633796692}
 {'feature': 'speed_complaints', 'attribution': -0.39764726161956787}
 {'feature': 'early_termination', 'attribution': 0.36266931891441345}
 {'feature': 'tenure_years', 'attribution': -0.06365101784467697}]","Customer is experiencing significant internet service pain points. The most impactful factor driving their critical 99.7% churn risk is their **24-month contract**, suggesting a perception of inflexibility or feeling locked in. Despite a premium plan, they suffer from **unsatisfactory speed performance**, evidenced by three reported speed complaints. This is crucial for their large household (6 members, 23 devices) and work-from-home demands. The availability of fiber upgrades further highlights their likelihood to switch, seeking a more reliable and adaptable service, as their current plan fails to meet their high usage and performance expectations.","Dear Valued Customer,

At TriLink Internet Services, we truly value your nearly one year of loyalty with us, and we've been reviewing your account, C00030983, to ensure you're getting the best possible experience. We understand that your internet connection is absolutely essential, not just for your active family of six with 23 devices, but especially for your critical work-from-home needs where reliable connectivity and seamless video conferencing are paramount.

We've noticed that despite your current Premium_Gig 1000 Mbps plan, you’ve experienced three instances of speed complaints. This tells us that raw speed alone isn’t fully addressing your need for a consistently reliable connection, which is vital for managing 563 GB of monthly usage across so many devices and supporting your professional demands. We also recognize that a long-term contract can sometimes feel inflexible, and we want to ensure your plan perfectly aligns with your current lifestyle.

That's why we've tailored a new solution designed to offer you not just incredible value, but also the unparalleled reliability and consistent performance you require for your household and your professional life. We recommend upgrading to our new **Standard_100 plan**. While this plan offers a streamlined speed, it's meticulously optimized to leverage our available fiber infrastructure, providing the dedicated and consistent bandwidth crucial for perfectly seamless video conferencing and a stable connection across all your devices – addressing those very speed concerns you’ve reported. This plan alone would reduce your internet cost from your current $106 to just $69 per month.

But we want to offer even more. To truly support your work-from-home needs and provide comprehensive peace of mind for your family, we’d also like to bundle this with our **Home Security Monitoring System**. For an additional $45 per month, this comprehensive system includes a smart doorbell, adding a professional touch and enhancing security for those important video calls.

To make this transition as smooth and appealing as possible, we are offering you the first **two months of your new bundle at a 50% discount**, bringing your total monthly cost to just $57 for those initial two months. After this introductory period, your total bill for both services would be $114 per month – a small increase overall, but with significant added value and a more reliable internet experience.

We're confident this combination of dedicated reliability for your professional calls, ample bandwidth for your family's 23 devices, and enhanced home security is precisely what you need. To minimize any disruption, we guarantee priority installation within 48 hours of your confirmation.

Please reply to this email or call us at your convenience to discuss this personalized upgrade. We are here to ensure your TriLink experience is nothing short of excellent.

Thank you,

TriLink Internet Services"
C00099117,99.7,CRITICAL RISK,Basic_25,25,34,6,0,True,True,"[{'feature': 'contract_type', 'attribution': 1.4744004011154175}
 {'feature': 'speed_complaints', 'attribution': -0.9751232266426086}
 {'feature': 'early_termination', 'attribution': 0.43261459469795227}
 {'feature': 'outage_count', 'attribution': 0.3898535668849945}
 {'feature': 'contract_completed_percent', 'attribution': 0.13745906949043274}]","Customer is experiencing critical dissatisfaction primarily due to **inadequate internet speed and performance**. Their Basic_25 plan at 25 Mbps is insufficient for a demanding household with 22 devices, 4 members, and a work-from-home professional, evidenced by 6 speed complaints. This creates a strong perception of poor value for money.

The **12-month contract type** is a significant churn driver, indicating a desire for more flexibility or unhappiness with being locked into a sub-par service. Furthermore, the availability of **fiber optic service** represents a significant unaddressed upgrade opportunity and competitive threat, suggesting the customer is aware of better alternatives. This combination points to an urgent need for a faster, more reliable, and value-aligned internet solution.","Dear Valued Customer,

As a loyal customer of TriLink Internet Services for over two years, your satisfaction is incredibly important to us. We've been reviewing your service to ensure it truly meets the evolving demands of your household, and we've identified an opportunity to significantly enhance your online experience.

We understand that with 4 family members and 22 devices connected at any given time, especially with your critical work-from-home responsibilities, your current Basic_25 plan at 25 Mbps may no longer be sufficient. We've also noted your recent feedback, specifically the 6 instances where your internet speed wasn't meeting your expectations, and we sincerely apologize for any frustration this has caused. You deserve a connection that keeps pace with your life.

That's why we've proactively identified an ideal solution tailored specifically for your household: an upgrade to our **Standard_100 plan**. This powerful plan delivers 100 Mbps, providing four times the bandwidth of your current service. This significant boost will ensure seamless video conferencing for your work, smooth streaming across all 22 devices, and a consistently reliable connection for every member of your family, eliminating those frustrating slowdowns. Your home is already equipped for a seamless transition to our advanced fiber optic network, ensuring you're connected to the fastest and most reliable technology available, both now and in the future.

To further enhance your home environment and support your professional needs, we're also recommending a special bundle that includes our **home security monitoring system**. Priced at just $45/month, this comprehensive system comes with a smart doorbell – a subtle yet significant detail for maintaining a professional appearance during video calls, while adding an extra layer of security for your family.

We're confident this upgrade will provide the reliable speed and value you need. To make this decision even easier, we'd like to offer you the **first two months of your upgraded Standard_100 internet service at 50% off.**

This means for the first two months, your upgraded internet service will be an incredible $34.50, plus the $45 for home security, bringing your total to just $79.50/month. After this introductory period, your service will be $69/month for the Standard_100 plan and $45/month for the security system, totaling $114/month – an exceptional value for a truly high-performance, secure home connection.

To make this transition as smooth as possible, we guarantee **priority installation within 48 hours** of your confirmation, ensuring minimal disruption to your daily routine and work.

We believe this personalized offer will provide the speed, reliability, and peace of mind your family deserves. To accept this special offer and schedule your priority installation, simply reply to this email or call us today.

Thank you,
TriLink Internet Services"
C00095787,99.7,CRITICAL RISK,Basic_25,25,34,3,1,True,False,"[{'feature': 'contract_type', 'attribution': 1.6113537549972534}
 {'feature': 'speed_complaints', 'attribution': -0.3926934003829956}
 {'feature': 'early_termination', 'attribution': 0.36465421319007874}
 {'feature': 'outage_count', 'attribution': 0.2881228029727936}
 {'feature': 'tenure_years', 'attribution': -0.06754560023546219}]","Customer is experiencing significant dissatisfaction primarily driven by their **12-month contract type**, which is the leading predictor of churn. Their service is severely impacted by **recurring performance issues**, including 3 speed complaints and 1 outage, which are critical given their work-from-home demands and 4-member household utilizing 16 devices. The **25 Mbps plan appears insufficient** for their needs, contributing to these performance problems. As a new customer with only 0.3 years tenure and no fiber upgrade options, their negative initial experience poses a critical churn risk.","Subject: An Important Update for Your TriLink Internet Service - Let's Get You Connected, Seamlessly!

Dear Valued Customer,

Since you became a part of the TriLink family nearly four months ago, your satisfaction has been our top priority. We understand that reliable internet is absolutely crucial for your household, especially with you working from home and your family of four relying on connectivity across 16 devices.

We've noticed you've experienced a few challenges recently, specifically with 3 speed complaints and 1 outage. We sincerely apologize for these disruptions. We recognize how critical a consistent connection is for your professional demands and for keeping everyone in your home connected. It appears your current Basic_25 plan at 25 Mbps might not be fully meeting the high demands of your active household and work needs.

That's why we've put together a personalized recommendation specifically designed to eliminate these frustrations and provide the seamless experience you deserve. We recommend upgrading to our **Standard_100 plan**. This plan delivers 100 Mbps, offering **four times the bandwidth** of your current service. Imagine smooth, uninterrupted video calls, effortless streaming, and truly responsive internet for all 16 devices, all at a significantly improved cost efficiency of just $0.69 per Mbps compared to your current $1.36.

To further enhance your home environment and professional appearance during calls, we've bundled this with our advanced **home security monitoring system**, including a smart doorbell. This comprehensive system, valued at $45/month, adds an extra layer of peace of mind and sophistication to your home setup.

As a valued customer, we want to make this transition as easy as possible. You'll receive the first **two months of your new Standard_100 plan and home security bundle at a 50% discount**, reducing your monthly cost to just $57 for those initial two months (from the total $114/month). Plus, we guarantee **priority installation within 48 hours**, ensuring you experience superior connectivity without delay.

Let us help you transform your internet experience from critical to seamless. This upgrade is designed to fully support your work-from-home requirements and the extensive usage of your entire household, giving you the reliability and speed you truly need.

To accept this tailored offer and schedule your priority installation, please reply to this email or call us directly at 1-800-TRILINK. We're here to ensure your internet works for you.

Thank you,
TriLink Internet Services"
C00081801,99.7,CRITICAL RISK,Basic_25,25,34,4,1,True,False,"[{'feature': 'contract_type', 'attribution': 1.6852970123291016}
 {'feature': 'speed_complaints', 'attribution': -0.6784945130348206}
 {'feature': 'early_termination', 'attribution': 0.3571663796901703}
 {'feature': 'outage_count', 'attribution': 0.23256391286849976}
 {'feature': 'plan_tier', 'attribution': 0.101900115609169}]","Customer is experiencing significant dissatisfaction driven primarily by **inadequate internet service quality and speed**. Their 25 Mbps plan is insufficient for a 4-member household with 15 devices and a work-from-home user, leading to four speed complaints and one outage. This poor performance, combined with being **contractually locked into a 12-month agreement** (the largest churn driver), creates substantial pain, especially given their relatively short tenure. The 'Basic_25' plan's perceived **poor value for money** given the performance issues further exacerbates their critical 99.7% churn risk.","Dear Valued Customer,

We're writing to you today because we genuinely value your business with TriLink Internet Services over the past 0.66 years, and we've noticed your experience hasn't been up to the high standards we aim to provide. We understand your internet service is crucial, especially for a busy household like yours, and we want to make things right.

We've carefully reviewed your account (C00081801) and acknowledge your recent difficulties, including the 4 speed complaints and the outage you experienced. It's clear that your current Basic_25 plan, at 25 Mbps, is simply not delivering the reliable performance needed for a four-member household managing 15 devices daily, particularly with someone working from home. We recognize that seamless video conferencing and dependable connectivity are absolute necessities for your work style.

We believe you deserve an internet experience that matches the demands of your home and provides true value. That's why we've tailored a special offer designed specifically to address your needs head-on:

We recommend an upgrade to our **Standard_100 plan**, which delivers a powerful 100 Mbps – that's four times the bandwidth of your current service. This significant boost will ensure seamless video calls, smooth streaming across all your 15 devices, and consistent reliability for every member of your family.

To further enhance your home environment and professional image, we'd like to bundle this with a **home security monitoring system**, including a smart doorbell. This not only adds a layer of safety but also presents a polished and professional appearance for any incoming calls or deliveries while you're working.

This comprehensive upgrade, typically $114/month for both the Standard_100 internet and home security, can be yours with a special introductory offer: **receive 50% off for the first two months**. That means you'll pay just $57/month for this enhanced service for your initial two months, significantly improving your internet speed and home security for better value.

We understand the importance of quick resolution. Therefore, if you choose to accept this offer, we guarantee **priority installation within 48 hours** to minimize any further disruption and get you connected to the reliable service you deserve as quickly as possible.

We are committed to ensuring your experience with TriLink is exceptional. This solution is designed to give your family the speed, reliability, and value required for your dynamic lifestyle, and to ensure your valuable time with us is consistently excellent.

To discuss this personalized upgrade and schedule your priority installation, please contact us at [Phone Number] or reply to this email. Our dedicated team is ready to assist you.

Thank you,
TriLink Internet Services"
C00058552,99.7,CRITICAL RISK,Basic_25,25,34,3,3,True,False,"[{'feature': 'contract_type', 'attribution': 1.62911057472229}
 {'feature': 'early_termination', 'attribution': 0.5891112089157104}
 {'feature': 'speed_complaints', 'attribution': -0.4170186221599579}
 {'feature': 'outage_count', 'attribution': -0.3156853914260864}
 {'feature': 'contract_completed_percent', 'attribution': 0.26130831241607666}]","Customer is experiencing critical pain points stemming from an **inadequate internet plan** of 25 Mbps, which is **insufficient for 11 devices and remote work**, causing **slow speeds and performance degradation**. They face significant **service quality issues**, evidenced by 3 speed complaints and 3 outages, indicating **unreliable connectivity and frequent disruptions**. A primary churn driver is their **contractual status**; having completed the initial 12-month term, they are actively seeking **better value and flexibility**. This combined dissatisfaction with **speed, reliability, and contract terms** makes them highly susceptible to churn.","Dear Valued Customer,

We truly appreciate your loyalty as a TriLink Internet Services customer for the past year and four months. We value your trust in us and want to ensure your internet experience perfectly supports your family’s needs.

We understand that with 11 devices connecting to the internet and your critical work-from-home responsibilities, reliable and fast connectivity isn't just a convenience – it's a necessity. We've noticed that you've recently experienced some challenges, including a few speed complaints and service outages. We recognize how frustrating these disruptions can be, especially when you depend on a stable connection for video conferencing and daily tasks. It's clear that your current Basic_25 plan, at 25 Mbps, isn't providing the robust experience your household requires.

That’s why we’ve put together a personalized solution designed specifically for you, to transform your internet experience. We recommend upgrading to our **Standard_100 plan**, which offers an impressive 100 Mbps – that's four times the bandwidth! This significant upgrade will ensure seamless video conferencing, smooth streaming across all your 11 devices, and a consistently fast connection for everything your family does online. The Standard_100 plan is just $69 per month, a great value for the incredible boost in performance.

To further enhance your work-from-home setup and provide an added layer of convenience and security, we also suggest bundling this with our **home security monitoring system** for $45 per month. This comprehensive package includes a smart doorbell, perfect for maintaining a professional appearance during video calls and giving you peace of mind whether you're working or relaxing.

To help you experience this enhanced service right away, we’re pleased to offer your first two months at **50% off** the combined new monthly total of $114 ($69 for internet + $45 for security). That means you'll pay just $57 for your first two months! We'll also prioritize your installation, ensuring a smooth transition with our expert technicians available for set-up within just 48 hours.

We believe this tailored solution will provide the speed, reliability, and value you deserve, ensuring your internet keeps pace with your family's dynamic lifestyle and work-from-home demands. Your current 12-month contract term is complete, giving you the perfect opportunity to transition to a plan that truly serves you better.

To learn more or to schedule your priority upgrade, please reply to this email.

Thank you,
TriLink Internet Services"
C00010421,99.7,CRITICAL RISK,Basic_25,25,34,3,1,True,False,"[{'feature': 'contract_type', 'attribution': 1.4766955375671387}
 {'feature': 'early_termination', 'attribution': 0.38389578461647034}
 {'feature': 'speed_complaints', 'attribution': -0.35746896266937256}
 {'feature': 'outage_count', 'attribution': 0.19896146655082703}
 {'feature': 'contract_completed_percent', 'attribution': 0.06813011318445206}]","Customer is experiencing significant pain points stemming from a binding 24-month contract, contributing most to their critical churn risk and likely causing a feeling of being trapped. Their current 25 Mbps plan is severely inadequate for a household with 19 devices and three members, compounded by work-from-home requirements, leading to frequent insufficient bandwidth and 3 documented speed complaints. Furthermore, service reliability is an issue, with at least one reported outage. These combined factors—contractual inflexibility, inadequate speed for high device usage, and unreliable service performance—are driving their high dissatisfaction and intent to churn.","Dear Valued Customer,

We’re reaching out to you today because, as a valued member of the TriLink family for 1.6 years, your satisfaction is incredibly important to us. We understand that your current internet experience might not be meeting your household’s unique needs, and we want to make things right.

We've noticed you have a busy home with 3 family members and 19 devices regularly connected to your internet. We also know that working from home means reliable, high-speed connectivity is absolutely essential for you. It concerns us that you've experienced 3 speed complaints and 1 outage recently, indicating your current 25 Mbps Basic plan isn't quite keeping up with the demands of seamless video conferencing and all your connected devices.

We believe you deserve an internet experience that empowers your work and leisure, rather than hindering it. That’s why we’ve tailored a solution specifically for your home.

We recommend an upgrade to our **Standard 100 plan**, providing you with a robust 100 Mbps – that’s four times the bandwidth you have now! This significant boost will ensure crystal-clear video calls, smooth streaming, and effortless connectivity for all 19 devices, eliminating those frustrating slowdowns. The Standard 100 plan is available for $69/month.

To further enhance your home office and overall convenience, we’re also suggesting you bundle this with our **home security monitoring system** at $45/month. This includes a smart doorbell, perfect for maintaining a professional appearance during calls and giving you peace of mind.

To help you experience this elevated service, we are pleased to offer you the **first two months of this comprehensive package at 50% off**. This means your combined internet and security service will be just $57/month for the first two months, after which it will revert to $114/month.

We are committed to resolving your connectivity concerns swiftly. We can arrange priority installation for your new service within **48 hours** of your confirmation, ensuring minimal disruption.

Please give us a call at [Your Phone Number] or reply to this email to discuss this personalized offer and schedule your upgrade. We’re here to ensure your internet connection works as hard as you do.

Thank you,
TriLink Internet Services"
C00061599,99.7,CRITICAL RISK,Basic_25,25,34,4,1,True,True,"[{'feature': 'contract_type', 'attribution': 1.6254830360412598}
 {'feature': 'speed_complaints', 'attribution': -0.7206764817237854}
 {'feature': 'outage_count', 'attribution': 0.3512853980064392}
 {'feature': 'early_termination', 'attribution': 0.33984455466270447}
 {'feature': 'plan_tier', 'attribution': 0.10205065459012985}]","Customer is experiencing critical dissatisfaction due to **unreliable internet service**, evidenced by 4 speed complaints and 1 disruptive outage, severely impacting their remote work. Their **Basic_25 plan provides insufficient bandwidth** for 10 devices, leading to persistent performance issues. A key pain point is feeling **trapped by a 24-month contract** after only half a year of poor service, preventing them from easily upgrading or switching providers. This combination of inadequate performance and contractual lock-in drives their extreme churn risk.","Dear Valued Customer,

We’re writing to you today because we truly value your business and your loyalty over the past half-year with TriLink Internet Services. We understand your experience with us hasn't been consistently positive, and we want to apologize for the frustration you've faced. Our records indicate you've reported 4 speed complaints and experienced a disruptive outage, which is simply unacceptable, especially given your essential work-from-home needs.

We recognize that with 10 devices active in your household and your reliance on a stable connection for remote work, your current Basic_25 plan isn't adequately supporting your usage. It's clear that the bandwidth limitations are impacting your daily tasks, from important video conferences to general browsing, and we want to ensure you have the reliable connectivity you deserve. We also understand that being in a 24-month contract, while experiencing these issues, can be particularly challenging.

That's why we've put together a personalized solution specifically for your household, C00061599, designed to transform your internet experience. We see that fiber is available in your area, and this opens up a significant upgrade path for you.

We recommend upgrading to our **Standard_100 plan**, which offers 100 Mbps – that's four times the bandwidth of your current service. This significant boost will provide the seamless, high-speed connection necessary for all 10 of your devices, ensuring crystal-clear video conferencing and reliable performance for your work. The Standard_100 plan is available at $69/month.

To further enhance your home office and overall security, we've also included a **home security monitoring system** at $45/month, which features a smart doorbell. This will not only provide peace of mind but also add a layer of professionalism to your home environment, especially valuable when working remotely.

To demonstrate our commitment to your satisfaction and help you make this transition effortlessly, we are pleased to offer you the first **two months of this upgraded service and security bundle at a 50% discount**. This means for the first two months, you'll pay just $57 instead of $114. We will also provide **priority installation within 48 hours** to get you up and running with your new, reliable connection as quickly as possible.

This tailored solution addresses your need for increased speed and reliability, ensuring your internet supports your work and personal life without compromise. We are confident this upgrade will eliminate the performance issues you've been experiencing and provide the consistent value you expect from TriLink.

To accept this offer and schedule your priority installation, please call us at 1-800-TRILINK or reply to this email. We're here to answer any questions and ensure a smooth transition.

Thank you,
TriLink Internet Services"
C00013083,99.6,CRITICAL RISK,Basic_25,25,34,3,2,True,True,"[{'feature': 'contract_type', 'attribution': 1.6269621849060059}
 {'feature': 'speed_complaints', 'attribution': -0.4929760694503784}
 {'feature': 'early_termination', 'attribution': 0.45653006434440613}
 {'feature': 'tenure_years', 'attribution': -0.06512930244207382}
 {'feature': 'outage_count', 'attribution': -0.05317327752709389}]","Customer is experiencing critical dissatisfaction driven primarily by an inadequate 24-month contract, which feels like a trap given their poor service experience. Their Basic_25 Mbps plan is severely underspecced for their household's needs (13 devices, WFH, 104 GB/month), leading to chronic performance issues like 3 speed complaints and 2 outages. This frequent unreliability and perceived slow internet, coupled with being a relatively new customer (under 1 year tenure), indicate a significant mismatch between their current service and actual usage demands. They are paying for a service that doesn't meet their essential connectivity needs, leading to imminent churn.","Dear Valued Customer,

We're reaching out to you personally, C00013083, because we truly value your loyalty over the past 0.97 years and understand that your internet experience with TriLink hasn't been what it should be lately.

We've noticed that with 13 devices connecting to your internet, a household of 3, and your essential work-from-home needs, your current Basic_25 plan might not be keeping pace with your demands. We also want to directly address the 3 speed complaints and 2 outages you've experienced. We understand how frustrating slow internet and unreliable connections can be, especially when you depend on it for seamless video calls and supporting your family's daily activities, with your home consuming around 104 GB of data each month. It's clear that your current plan is severely underspecced for your critical connectivity needs.

To resolve these pain points directly and provide a service that truly empowers your home, we recommend an immediate upgrade to our Standard_100 plan. This upgrade leverages our available fiber infrastructure, giving you 4x the bandwidth of your current plan. Imagine perfectly clear video conferences, smooth streaming across all your devices, and a consistently reliable connection for every member of your family. This is the reliable speed and value that a busy, connected home like yours, where you work from home, truly deserves.

Given your specific needs, we also see significant value in bundling this with our home security monitoring system, which includes a smart doorbell. This not only enhances your home's safety but also offers a professional, polished appearance during video calls.

To make this seamless transition, we're pleased to offer your new Standard_100 plan and home security bundle at a special introductory rate of just $57 per month for the first two months – that's a 50% discount on the total package! After this introductory period, your service will be $114 per month. We are committed to making this upgrade as seamless as possible, which is why we’ll also arrange priority installation for you within 48 hours of your confirmation.

This tailored solution is designed to eliminate the frustration you've been experiencing and deliver the consistent, high-performance internet you need to support your work-from-home demands and family's connectivity.

To discuss this personalized offer and schedule your priority installation, please click here or call us directly at 1-800-TRILINK.

Thank you,
TriLink Internet Services"
